1240	3114	fatɔrɔ	Inaudible
3114	6625	Aw ni ɲakuma !	Je vous salue
9381	10381	Foli don	C'est votre salutation
10381	11377	O ye foroba foli ye	C'est la salutation commune
11377	13716	Aw fɛ farafinan yan	Chez nous en Afrique
13735	16311	Parce que Foli ka ca, aw ni sɔgɔma bɛ in, aw ni tile bɛ in, aw ni wula bɛ in	Parce qu'il y a plusieurs types de salutations : bonjour, bon après midi et bonsoir
18433	22622	Mais olu bi fɔ n'a waati de don	Mais chaque
22641	25792	N bɛ foli kɛ bɛɛ lajɛnlen ye an lajɛ ba farafinna ani farajɛla	Je salue tous ceux qui nous écoutent, de l'Afrique comme de l'Europe.
26056	29603	Ne de ye Wodjo BAH	Je suis Wodjo BAH
29711	31094	Ka bɔ Jijanni mabɔ wɛrɛ la	Et je suis de Diediani au hameau de Mabo
31679	38000	A bɛ barawuli fɛ ani barawuli ye barawuli mara fɛ kilo tan ani naani	Il fait partie de cercle Baraoueli à 10 kilomètres
38622	42528	Nka Ala y'a sigiyɔrɔ bɛ Sugu ma	Mais nous résidons à Ségou
42962	46217	N'o ye Mali mara naaninan ye	qui est la quatrième région du Mali
46217	49253	Awɔ Ala y'an sigi yɔrɔ bɛn ye ma	Oui, nous résidons là-bas
49253	54339	Ne ye Wodjo BAH, n ye Alimami BAH de ye n Umu BAH de ye.	Je suis Wodjo BAH fils de Almamy et de Oumou BAH.
54339	57283	Donc anw ye ɲamakalaw ye	Donc, nous les hommes de castes
57343	59339	An ye ɲamakalaya sɔr'an faw n'an mɔkɛw la	Nous l'héritions de nos pères et de nos grand-pères
66830	70924	Donc anw ka baara y'o de ye	Donc c'est cela notre travail
71433	77301	Babandɔya in fana KUYATE de don mais an ye banbadɔya sɔrɔ an jatigiw de fɛ n'o ye filaw ye 	Les banbado sont des KOUYATE d'origine, mais on est devenu banbado grâce à nos hôtes, les peuls
77924	81547	Donc an bina baro min bɛ	Notre débat ou échange va porter
82860	87886	Comme ne ye dɔni min sɔrɔ an ka ɲamakala kɔrɔbaw kɔ ani nfa kɔ, n'o ye Alimamy BAH	Je vais vous partager donc ce que j'ai appris avec nos grands griots et ce que j'ai appris avec mon père Almamy BAH.
88735	96075	An bi fɛ ka, a bi fɔ filakɛ min ko  alihaji sɛkuramuru TAL	Il s'agit de l'histoire de Cheick Oumar TALL
96471	99735	An bɛ fɛ ka o de ka histoire dɔni fɔ	C'est de cela qu'on veut vous raconter
100263	108018	an lamɛbagaw bi se ka dɔni min ni Ala ye waatinin min an ye min sɔrɔ la an bɛ se k'o lakale	Pour vous partager pendant ce petit temps ce que nous avons appris de cette histoire.
108641	116433	 Donc ɛlaji sɛkumaru ko yan'an ka daminɛ ɛlaji sɛkumaru yɛrɛ la, a ye yan sɔrɔ cogo di Sɛkumaru ko boyan na cogo di diɲɛ bol	Donc, nous commencer par vous parler de l'origine Cheick TALL et sa légendaire à travers le monde
117528	119207	Barisa farafinna dama tɛ	puisque c'est ne concerne pas que l'Afrique
119528	121566	Olu waati o ya sɔrɔ a bɛ fɔ ko sudan	À cette époque, on appelait le Soudan français
122169	124396	Mali ko tun tɛ yen, a bi fɔ ko sudan	Le Mali s'appelait Soudan à l'époque
125830	130207	ɛlaji sɛkumaru fa ye sɛyidu de ye	Seydou est le père d'El hadj Cheick Oumar
130905	134981	Sɛyidu kuma mina a kɔrɔbayara	Lorsque Seydou devient adulte
135773	140547	A fanin cinninw ye muso d'a ma min tɔgɔ ye Ayise	Ses petits papas ou tontons lui donnèrent une femme du nom d'Aiché
141528	145490	A' ko sɛyidu an bina i balima muso di ma	Ils ont dit :" Seydou nous te donneront ta sœur "
145716	147369	ka ki muso ye	Elle devient ta femme
147566	149452	U laban na ka Ayise fana wele	Ils appelèrent Aiché aussi
149471	152603	Ayi wa an yi di Sɛyidu ma	Donc, tu es désormais la femme de Seydou
152905	154841	Sɛyidu a bagebaw ma	Seydou dit ceci à ses parents
155180	160264	Den bi a fa bils sira fa fana ba den bila sira	de même qu'un parent peut conseiller un enfant, l'enfant peut aussi partager son avis avec le parent
160584	161716	N ba ɲin'aw fɛ	Je voudrais que
161844	162844	Aw ka sira diyan	vous acceptez
163052	164867	Ne walan ma dafa	que je termine mes études
165246	167471	N  ka taa ka walan dafa n'o ye Alikuranɛ banw ye	Je pars achever mes études coraniques
167989	169716	Kuranɛ ali kalimu	Le saint coran
170238	171943	Faw ko basi t'a la	Ils ont approuvé cela
172075	173641	An bi se ka sira di ma	Nous pouvons accepter
173735	175169	I ka taa i ka kalan kɛ kana	que tu partes faire tes études
175379	177132	Ni tila la kalan na i bi na	Une fois ton retour après les études
177370	178830	Furu min fɔra a ba nɔ na	Elle restera ta femme
180305	183905	Fɔlɔ olu kow tun bi kɛ kun min ni jigiya min na	Ces pratiques se faisaient sur la confiance et pour des raisons, autrefois
186018	189245	Balimaden ka di n'u ye maa ɲumanya ye muso minnu na	Le mariage était fait en fonction des filles qui avaient de bonne qualité
189396	192924	Parce que diɲɛ ko baw o ko baw i ba sɔrɔ musow de bi kɛ a sababuya	Parce que les femmes sont à l'origine des grands faits
193895	195641	Bon n'u ye maa ɲumanya ye	S'ils voient cette qualité
195690	198830	Muso minnu na ale de bɛna a bange	C'est elle qui mettra au monde ce type d'enfant
199856	201283	U ba ye u ba di mɔgɔ dɔ ma so kɔnɔ	Ils la donnent à un membre de la fille
201478	203132	Muna n'a dira kɛnɛ ma	pourquoi ils préfèrent cela
203706	206094	Bonya mi b'ala no kan ka sɔrɔ la a no bɛtaga de	pour éviter qu'elle ne sorte avec le caractère qu'elle a
206393	210339	Ni ye muso kɔni, muso tɛ se ka ɲɛ cɛ kɔ	la femme ne peut vivre sans l'homme
211264	212684	A bi komi na fɔ	c'est comme
213549	216264	ɲamakala fana tɛ se ka ɲɛ a jatigi kɔ cogo min na	Le griot dépend aussi de son hôte
218594	220792	Den fana tɛ se ka ɲɛ na ba tɛ	tout comme la relation entre l'enfant et sa mère
224150	231584	o la sɛkumaru, amadu a donna o togora a taara kalan yɔrɔ la	voilà comment Cheick Oumar a été inscrit
232519	234452	a taar'a ka kalan nan min	Quand il est parti pour sa formation
234508	237169	Ayise ye san wolonwula de kɛ	Aiché a fait sept ans
237245	239075	a sigilen do	Elle est à l'attente
239114	240603	a tɛ seyidu yɔrɔ dɔn	elle ne sait pas où se trouve seydou
241510	243245	bon san wolonwula dafara	après sept ans
