1520	3390	A ye furamugu kɛ a tɛgɛ la.	Il a mis le médicament en poudre sur sa main.
3540	5460	A ko a k'a daji k' a la, a y'a daji k'a la.	Il lui a dit de cracher là-dessus, il a craché dessus.
5590	7780	A ko a k'a da a ɲɛ kelen na, a y'a da a ɲɛ kelen na.	Il lui a dit de le mettre sur son œil, il l'a mis sur son œil.
7890	9840	Dibi farala ka bɔ a ni jinɛsokala cɛ.	Il a vu le quartier des djinns
10400	15760	Jinɛkɛ cekɔrɔba dɔ bilara a ɲɛ ka na se bulon kɔnɔ.	Un vieux djinn l'a dirigé vers dans le vestibule.
15900	19475	Jinɛ cɛkɔrɔbaw ko min y'an ka sogo bon k'a filɛ nin ye.	Les vieux djinns ont immédiatement dit: voici celui qui a tiré sur notre animal.
19700	23925	U min y'an ka sogo bon ko nin te o ye, ko ɲɛ fila ka nin ɲɛ kelen cilen don.	Ce n'est pas lui, celui qui a tiré sur notre proie avec les deux yeux celui-là est borgne.
24150	25500	U k'o ye tiɲɛ ye.	Ils ont dit que c'est la vérité.
25675	26875	A donna n'a ye bulon kɔnɔ.	Il est entré avec lui dans le vestibule.
27025	29775	A nana se jinɛnumuw dalen bɛ yɔrɔ min na la.	Ils sont arrivés à l'endroit où sont les forgerons djinns.
29975	33975	A y'a sɔrɔ ye sogo min bon jinɛsogo don numuw bɛk'a furakɛ.	Il a vu que sa proie était la proie des djinn et ils sont en train de la soigner.
37575	40150	A selen olu girinna ko min y'an ka sogo bon k'o filɛ.	Eux ils ont immédiatement dit voici celui qui a tiré sur notre proie.
40300	44175	Jinɛ cɛkɔrɔbaw ko min y'an kaa sogo bon k'o tɛ nin ye , k'o ɲɛ fila ka ɲi ko nin ɲɛ kelen cilen don.	Les vieux djinns ont dit non, celui qui a tiré sur notre proie avait les deux yeux cet homme là est borgne.
44325	46075	U k'o ye tiɲɛ ye.	Ils ont dit que c'est la vérité.
46275	49750	A y'i sigi, a bɛka sogo in filɛ o k'a filɛ.	Il s'est assis, il est en train de regarder la proie.
49900	52625	Sɔɔni selen, jinɛ cɛkɔrɔba ko a ma ko wuli an ka taa.	Peu après, le vieux djinn lui a dit de partir.
52800	55200	U bɔra.	Ils sont sortis.
55300	60325	Ka na se bulon kɔnɔ na tɛmɛ o mɔgɔw la, ka na kɛnɛba in kan.	Ils sont passés les vestibules et sont venus sur l'espace large.
60600	62550	A ko i'y'i ka sogo ye wa?	Il dit, est-ce, ce que tu préfères ?
62725	66175	A ko bɛɛ adamadensogo ye.	Toutes les proies ne sont pas pour les êtres humains.
66350	69000	Ni ne yɛrɛ ni n ka kɛcogo tɛ bi e tun be to yan.	Sans moi tu allais rester ici aujourd'hui.
69250	72825	Nka aw ye hadamaden sen fila bolo ye a' hakili ka dɔgɔn.	Vous, les êtres humains, n'avez pas trop d'esprit.
73350	82725	An bɛ nin yɔrɔ min na yan nin ye, ni hadamaden fɛn o fɛn ye yan tu tigɛ k'i sigi yan i tɔgɔ be fɔ.	Là où nous sommes, cet endroit, toute personne qui construit une maison ici sera célèbre jusqu'à la fin du monde.
82900	85650	I kɔ bɛ barika wa i bɛ kɛ maa kɔbatigi ye.	Tu auras beaucoup de descendants et tes descendants seront bénits.
85900	88100	Min ye sogo bon i b'a togɔ dɔn?	Sais-tu le nom de celui qui a tiré sur l'animal ?
